iter	Passed	Remaining
0	163	163505
1	165	82435
2	166	55214
3	167	41686
4	169	33724
5	171	28345
6	172	24493
7	174	21677
8	176	19394
9	177	17552
10	178	16034
11	179	14775
12	181	13769
13	183	12908
14	185	12192
15	187	11529
16	189	10955
17	190	10416
18	192	9920
19	193	9472
20	195	9109
21	198	8818
22	200	8533
23	202	8243
24	203	7952
25	204	7679
26	206	7428
27	207	7200
28	208	6993
29	210	6818
30	212	6646
31	214	6474
32	216	6330
33	217	6174
34	218	6021
35	219	5882
36	220	5751
37	222	5623
38	223	5514
39	225	5413
40	227	5318
41	228	5216
42	229	5116
43	231	5020
44	231	4923
45	233	4835
46	234	4748
47	235	4665
48	236	4595
49	238	4531
50	239	4459
51	240	4391
52	242	4326
53	244	4281
54	245	4222
55	247	4170
56	248	4113
57	250	4075
58	252	4028
59	253	3972
60	254	3923
61	257	3892
62	258	3848
63	260	3803
64	261	3759
65	263	3725
66	265	3693
67	266	3657
68	268	3621
69	269	3581
70	271	3551
71	273	3521
72	274	3485
73	275	3450
74	276	3412
75	278	3390
76	281	3374
77	282	3344
78	284	3312
79	285	3288
80	288	3267
81	289	3237
82	289	3201
83	290	3171
84	292	3152
85	294	3128
86	295	3105
87	297	3082
88	300	3071
89	301	3049
90	302	3022
91	303	2998
92	305	2980
93	308	2969
94	309	2949
95	312	2943
96	314	2927
97	316	2911
98	317	2892
99	318	2870
100	320	2850
101	321	2834
102	323	2818
103	326	2809
104	328	2797
105	329	2783
106	331	2767
107	332	2748
108	334	2731
109	335	2717
110	337	2706
111	339	2688
112	340	2675
113	342	2660
114	344	2649
115	345	2633
116	346	2613
117	347	2596
118	348	2583
119	350	2567
120	351	2556
121	353	2541
122	355	2534
123	356	2521
124	358	2510
125	360	2499
126	361	2486
127	363	2473
128	364	2461
129	366	2454
130	369	2448
131	371	2440
132	375	2445
133	376	2431
134	379	2433
135	381	2426
136	388	2444
137	390	2437
138	394	2445
139	399	2455
140	403	2456
141	404	2443
142	406	2433
143	409	2436
144	412	2429
145	415	2427
146	417	2425
147	419	2413
148	420	2400
149	424	2405
150	425	2394
151	428	2390
152	430	2385
153	432	2375
154	433	2365
155	435	2357
156	437	2347
157	438	2338
158	441	2335
159	442	2325
160	444	2314
161	445	2304
162	446	2294
163	447	2283
164	449	2272
165	450	2262
166	453	2262
167	455	2257
168	457	2249
169	459	2242
170	460	2234
171	462	2224
172	463	2215
173	464	2206
174	466	2199
175	467	2190
176	469	2181
177	470	2174
178	472	2168
179	474	2162
180	476	2155
181	478	2149
182	480	2144
183	483	2145
184	486	2141
185	488	2137
186	490	2132
187	491	2124
188	494	2120
189	496	2116
190	498	2113
191	500	2108
192	503	2105
193	504	2098
194	506	2091
195	507	2083
196	510	2080
197	512	2075
198	514	2071
199	516	2064
200	517	2058
201	519	2051
202	520	2045
203	522	2039
204	524	2034
205	526	2031
206	528	2025
207	530	2018
208	531	2010
209	532	2002
210	533	1995
211	535	1989
212	536	1984
213	538	1977
214	540	1974
215	542	1968
216	543	1961
217	544	1954
218	546	1948
219	547	1942
220	549	1937
221	551	1931
222	553	1927
223	555	1924
224	557	1919
225	558	1913
226	560	1907
227	561	1900
228	563	1897
229	565	1892
230	567	1887
231	570	1887
232	572	1883
233	576	1886
234	577	1880
235	579	1876
236	582	1874
237	584	1872
238	586	1868
239	588	1864
240	590	1858
241	591	1852
242	592	1846
243	594	1840
244	595	1834
245	596	1828
246	598	1823
247	600	1819
248	602	1816
249	604	1812
250	605	1807
251	606	1801
252	608	1795
253	609	1789
254	610	1784
255	611	1778
256	616	1780
257	617	1776
258	618	1770
259	620	1764
260	621	1759
261	622	1753
262	623	1748
263	625	1742
264	626	1736
265	628	1734
266	630	1729
267	631	1725
268	632	1720
269	634	1714
270	635	1709
271	636	1704
